"","id","freq","name"
"248","5496932",63,"NRCC"
"249","636517670",63,"Local Buzz Network"
"250","16906137",62,"pourmecoffee"
"251","20378448",62,"Philip Klein"
"252","2765561",62,"Democrats"
"253","15099539",61,"Bruce Lesley"
"254","15210284",61,"National Journal"
"255","22737278",61,"David Roberts"
"256","16935292",60,"Democracy Now!"
"257","18388923",60,"Loren Heal"
"258","213795411",60,"Governor Walker"
"259","308233424",60,"Roger Simon"
"260","32071013",60,"Dean Clancy"
"261","338594583",60,"Gina Thinks"
"262","131546062",59,"Rick Scott"
"263","16209626",59,"Stevie Hussein Obama"
"264","19847765",59,"Sahil Kapur"
"265","24305174",59,"Dagwood B."
"266","20182089",58,"West Wing Reports"
"267","15075753",57,"ATR"
"268","16187637",57,"Chad Pergram"
"269","179245596",57,"David Limbaugh"
"270","19462341",57,"Eileen Left"""
"271","208361818",57,"Majority Report"
"272","97086584",57,"Generation America"
"273","1566661",56,"Stephen Hackett"
"274","15952856",56,"Ari Berman"
"275","18978610",56,"Sally Kohn"
"276","39311638",56,"Families USA"
"277","522170874",56,"FunkyForObama"
"278","63262233",56,"EMILY's List"
"279","9532402",56,"Ben Smith"
"280","20733972",55,"Reince Priebus"
"281","396044297",55,"Peggy Stuart"
"282","118718294",54,"Joan"
"283","15727317",54,"Amanda Terkel"
"284","21269970",54,"Senator Roy Blunt"
"285","22509548",54,"Darrell Issa"
"286","24733117",54,"Jeffrey Levin"
"287","24854688",54,"Shannyn Moore"
"288","404454627",54,"SignOn.org"
"289","50434933",54,"Steven Ertelt"
"290","16303106",53,"Stephen Colbert"
"291","207589835",53,"cheerio grrrl"
"292","29465136",53,"Mediaite"
"293","14173315",52,"NBC News"
"294","16664681",52,"Los Angeles Times"
"295","21929250",52,"MICHAEL DOLLAR"
"296","23999515",52,"Kaiser Health News"
"297","247378337",52,"Chernynkaya"
"298","269441846",52,"Lola Haag"
"299","27744185",52,"Charles Krauthammer"
"300","29442313",52,"Bernie Sanders"
"301","55049166",52,"Obama for America PA"
"302","15742985",51,"Lachlan Markay"
"303","16031927",51,"Greta Van Susteren"
"304","18188773",51,"usdemocrats"
"305","23255247",51,"Barracks O'Bama"
"306","23730438",51,"Justine Larbalestier"
"307","30077811",51,"Examiner.com"
"308","309558781",51,"Kelly Rek"
"309","42245932",51,"V K"
"310","63013144",51,"Sarah Reese Jones"
"311","72552866",51,"US Reality Check "
"312","14173084",50,"Current TV"
"313","15745368",50,"Marco Rubio"
"314","20545835",50,"Newsmax"
"315","279164084",50,"Watchdog Progressive"
"316","54299209",50,"Obama for America NC"
"317","11856032",49,"NBC Politics"
"318","16190641",49,"Lorraine P"
"319","335369838",49,"Occupy Wall Street"
"320","39609732",49,"Jeff Sun Tzu"
"321","112002661",48,"Christopher Marlowe"
"322","14844867",48,"Amanda Carpenter"
"323","15220768",48,"David Corn"
"324","18172905",48,"Rick Klein"
"325","192028387",48,"Progressive Buzz"
"326","21707592",48,"ne1 g0tz"
"327","56681659",48,"First Focus"
"328","71294756",48,"Wolf Blitzer"
"329","72198806",48,"Kirsten Gillibrand"
"330","100538334",47,"Obama for America SC"
"331","10069612",47,"AFL-CIO"
"332","21146733",47,"NationalNursesUnited"
"333","22012091",47,"Steny Hoyer"
"334","3497941",47,"Oliver Willis"
"335","38495835",47,"Mark R. Levin"
"336","39308549",47,"The Daily Caller"
"337","43626022",47,"Re-Elect Prez Obama!"
"338","48142971",47,"Texas Red"
"339","78599720",47,"Obama for America VA"
"340","14924233",46,"Alan Colmes"
"341","19824430",46,"College Democrats "
"342","233737858",46,"Senator Ron Johnson"
"343","23819676",46,"Josh Dorner"
"344","111141045",45,"Brad Woodhouse"
"345","14345062",45,"PostPolitics"
"346","158414847",45,"The Daily Show"
"347","18220818",45,"DogLovers4Obama 47%"
"348","32497478",45,"Kelly "
"349","40037388",45,"Obama for America CO"
"350","45395460",45,"Florida Gordon"
"351","78495596",45,"Obama for America WA"
"352","9508922",45,"Jim DeMint"
"353","106274105",44,"Rich Wharton"
"354","16032925",44,"Fox News Politics"
"355","16160352",44,"Claire McCaskill"
"356","16467567",44,"reason"
"357","18227519",44,"morningmika"
"358","182503471",44,"The Last Word"
"359","18686907",44,"davidfrum"
"360","216299334",44,"Piers Morgan"
"361","32517594",44,"RonSupportsYou"
"362","410249471",44,"UltraViolet"
"363","7702542",44,"Dana Loesch"
"364","116099364",43,"PolitiFact Florida"
"365","15087011",43,"Romenesko"
"366","1716581",43,"Elon James White"
"367","17609675",43,"Jimmie"
"368","21974380",43,"ReAL TaLk"
"369","21982720",43,"Arianna Huffington"
"370","342887079",43,"Rush Limbaugh"
"371","44134773",43,"Steve Kornacki"
"372","7039122",43,"College Republicans"
"373","140060120",42,"David Pakman Show"
"374","18963809",42,"Chris Moody"
"375","385700614",42,"Trina Cuppett "
"376","41017380",42,"Alan Grayson"
"377","6017542",42,"Breaking News"
"378","88740365",42,"Community Catalyst"
"379","15155074",41,"Pearl Jam"
"380","16950628",41,"Wendell Potter"
"381","188550805",41,"Miles Tache"
"382","254117355",41,"Morning Joe"
"383","282695161",41,"Wayne Dupree"
"384","300560155",41,"Todd Akin"
"385","42174783",41,"Obama for America NM"
"386","133439172",40,"Kay Bailey Hutchison"
"387","15280845",40,"Simon Says"
"388","209484168",40,"Scoop.it"
"389","270193608",40,"Mike McCready "
"390","28009377",40,"DR"
"391","48802204",40,"Chris Matthews"
"392","55329156",40,"RNC Research"
"393","14677919",39,"The New Yorker"
"394","15300388",39,"Patrick Dollard"
"395","166990746",39,"Monica Crowley"
"396","229428507",39,"Patti"
"397","23605505",39,"Steve Walker"
"398","260582890",39,"Wen Dombrowski MD"
"399","327838153",39,"BudParsons"
"400","501750780",39,"The Women's Watch"
"401","52180914",39,"Obama for America CA"
"402","6577802",39,"Tom Price"
"403","71627462",39,"Jonah Goldberg"
"404","76376525",39,"Obama for America NY"
"405","168295477",38,"David Leonhardt"
"406","17645505",38,"DenisCampbell"
"407","18276341",38,"Kevin Drum"
"408","22250215",38,"Cyn"
