"","id","name","weight"
"277","57790392","Obama for America AK",31
"278","14466538","DSCC",30
"279","16315197","Ray Hussein Obama",30
"280","16935292","Democracy Now!",30
"281","18244206","GayPatriot",30
"282","188550805","M.S.Tache",30
"283","21316253","Zeke Miller",30
"284","229428507","Patti",30
"285","335972576","Occupy Wall Street",30
"286","49964679"," Jeannie ",30
"287","14844867","Amanda Carpenter",29
"288","16467567","reason",29
"289","16955991","Salon.com",29
"290","21968778","liberalease",29
"291","24645871","Stephen Gary",29
"292","260335091","Spud Lovr",29
"293","33588180","Ronald Lewis",29
"294","69773058","Stephen Hayes",29
"295","10069612","AFL-CIO",28
"296","125724234","Keith White",28
"297","14924233","Alan Colmes",28
"298","1652541","Reuters Top News",28
"299","25704351","BoldProgressives.org",28
"300","346924655","Villi Wilson",28
"301","40553282","Stew",28
"302","53175744","jimmy streich",28
"303","55329156","RNC Research",28
"304","111786667","#HOLYLIFE",27
"305","11203972","Jim Treacher",27
"306","15727317","Amanda Terkel",27
"307","15964350","Chris In Alabama",27
"308","16664681","Los Angeles Times",27
"309","17111550","Fair and Balanced!",27
"310","21707139","JoJeanne B. Lown",27
"311","24854688","Shannyn Moore",27
"312","253647516","adjordan",27
"313","274990777","BeautifulKarma",27
"314","2836421","msnbc.com",27
"315","356885109","Jim Messina",27
"316","6017542","Breaking News",27
"317","615318971","From A Citizen",27
"318","64397500","Jack Wade",27
"319","14173315","NBC News",26
"320","15588657","Deepak Chopra",26
"321","15808765","Cory Booker",26
"322","17078632","Gov. Bobby Jindal",26
"323","22012091","Steny Hoyer",26
"324","281909255","Path2Enlightenment",26
"325","282695161","Wayne Dupree",26
"326","28785486","ABC News",26
"327","299983531","Ian",26
"328","383889183","Chris Cook",26
"329","552994868","The Fist of Goodness",26
"330","76692861","Obama for America TX",26
"331","85131054","Jeff Zeleny",26
"332","103247646","djB_MonEy",25
"333","15210284","National Journal",25
"334","15220768","David Corn",25
"335","15774048","RayBeckerman",25
"336","166990746","Monica Crowley",25
"337","168295477","David Leonhardt",25
"338","18963809","Chris Moody",25
"339","199875709","Sttbs73",25
"340","20818801","Daily Kos",25
"341","23022687","Ted Cruz",25
"342","248747209","ashley judd",25
"343","254044050","PAUL FREID",25
"344","262816788","Dark spud",25
"345","309558781","Kelly Rek",25
"346","38218247","Nancy Mitchell",25
"347","473637671","JR Gaillot",25
"348","90405702","Andrea Saul",25
"349","93419194","Arthur Pedicini",25
"350","15273337","Dani Stone",24
"351","17961164","AgressiveProgressive",24
"352","18089606","Kurt Schlichter",24
"353","18449536","©FRankie J""",24
"354","18791763","Karl Rove",24
"355","212808638","America United",24
"356","21882328","Sebastian Gibson",24
"357","21954033","Terrell Lewis",24
"358","23041713","Kasai",24
"359","232863368","Bearded Stoner",24
"360","247334603","Senator Dick Durbin",24
"361","306336521","ThinkProgress Health",24
"362","32260931","Er. D.",24
"363","33519870","CJ Werleman",24
"364","357013583","FW For America",24
"365","48142971","Texas Red",24
"366","49021031","Terri Harvey",24
"367","59587480","Tawni_Vixen",24
"368","76691987","Obama for America MS",24
"369","86177206","Tea Party Patriots",24
"370","130344773","²¶$£@¾Î .d¶",23
"371","15075753","ATR",23
"372","15174710","MomsRising",23
"373","15745368","Marco Rubio",23
"374","16046979","@sweetbay",23
"375","17580892","Betty B",23
"376","176619668","hate GOP",23
"377","18646108","Bret Baier",23
"378","19359749","Erin Haust",23
"379","202415747","Richard Lewis",23
"380","21407833","mike fogelsanger",23
"381","27744185","Charles Krauthammer",23
"382","28587919","Herman Cain",23
"383","35218566","Ari Fleischer",23
"384","36667104","Political Math",23
"385","376876772","SpreadTheWord",23
"386","3819931","Joe Wosik",23
"387","39308549","The Daily Caller",23
"388","40930480","Todd Kincannon",23
"389","46557945","Steven Dennis",23
"390","54978381","Kay Ydill",23
"391","58708159","Resist Tyranny",23
"392","65033","Jason Berberich",23
"393","71627462","Jonah Goldberg",23
"394","10292132","Joel Pollak",22
"395","122768292","Nick Gallicchio",22
"396","12896172","Patty",22
"397","129235890","Lori Hendry",22
"398","15350894","Lee Searles",22
"399","16006592","Benjy Sarlin",22
"400","16122907","Charlie_O",22
"401","175297413","waterwynd",22
"402","17609675","Jimmie",22
"403","17645505","DenisCampbell",22
"404","20378448","Philip Klein",22
"405","21269970","Senator Roy Blunt",22
"406","28448216","Progress League",22
"407","30864583","AEI",22
"408","361543110","Steven Wallace",22
"409","37048835","Jinoden",22
"410","39040737","@KnorthernKnight",22
"411","40585382","Reverend Sue",22
"412","42769016","AssocAmerPhys&Surg",22
"413","44134773","Steve Kornacki",22
"414","47010384","Fresh Brew",22
"415","47691337","K. Koz",22
"416","48438566","Maureen O'Brien",22
"417","71715641","Kate",22
"418","76376525","Obama for America NY",22
"419","7702542","Dana Loesch",22
"420","88740365","Community Catalyst",22
"421","12444302","Black Canseco",21
"422","144402222","Tracy",21
"423","14523404","Steffani Cameron",21
"424","15195679","Brad A Schenck",21
"425","23761008","Chris Savage",21
"426","25594161","Lee Doren",21
"427","30050899","OpenSecrets.org",21
"428","344658101","BayonneBernie",21
"429","369505837","White House Live",21
"430","436925910","Alec MacGillis",21
"431","501750780","FightTheWarOnWomen",21
"432","568726352","gin ",21
"433","754485","Matthew Keys",21
"434","112047805","Brit Hume",20
"435","119972954","The Real Me",20
"436","13787352","NPR Health News",20
"437","13850422","CNNPolitics",20
"438","141405856","Team Barack Obama",20
"439","149315713","Norsu",20
"440","16017475","Nate Silver",20
"441","16146535","Marcy McGowan",20
"442","16190478","FloridaJayhawk",20
"443","16256826","Jodi",20
"444","18208120","Right Scoop",20
"445","19553409","Scott Rasmussen",20
"446","20144167","Joy__Hart",20
"447","21253935","MWJ",20
"448","21982720","Arianna Huffington",20
"449","23678096","Gunservatively",20
"450","275714700","L'Etat C'est Moi",20
"451","293131808","Senator Patty Murray",20
"452","314261554","TPM Livewire",20
"453","32071013","Dean Clancy",20
"454","328679423","Tammy Duckworth",20
"455","34556109","Frank Conniff",20
"456","34643610","Eric Boehlert",20
"457","34927577","CNSNews.com",20
"458","390986526","Michael",20
"459","415836996","Traditional American",20
"460","45190383","NewsBusters",20
"461","455764741","Wash. Free Beacon",20
"462","47677431","Mariano ",20
"463","52180914","Obama for America CA",20
"464","59274071","Obama for America AZ",20
"465","593285205","FactsAboutRomney",20
"466","64813290","Jason Febery",20
"467","76059158","Obama for America IA",20
"468","100987374","TrueBlue Liberal",19
"469","133439172","Kay Bailey Hutchison",19
"470","14293310","TIME.com",19
"471","14764240","RH Reality Check",19
"472","15731368","HowardKurtz",19
"473","16819937","dmcrane",19
"474","17495447","James F. Haning II",19
"475","176534793","Patricia Hoffman Mil",19
"476","18080729","MIP on SiriusXM 127",19
"477","203188066","Lije",19
"478","20709918","Sasha",19
"479","20719181","Jennifer ",19
"480","21946424","Laughing Liberal",19
"481","22250215","Cyn",19
"482","228554424","John",19
"483","247153862","amaeryllis",19
"484","285949141","Sarah PaIin",19
"485","291903954","Wayne A Schneider",19
"486","316471699","Cletis Stump",19
"487","331816614","Andrew Sullivan",19
"488","51228973","Working America",19
"489","54573060","AP Courtside Seat",19
"490","5781452","el SOOPer",19
"491","73238146","Senate Democrats",19
"492","73333278","Joyce Jeffries",19
"493","74921459","Obama for America RI",19
"494","83949216","TriciaNC",19
"495","96442308","Daniel J Sobieski",19
"496","113758100","Dennis Miller Show",18
"497","14421907","TruthSerumUSA",18
"498","14606079","ProPublica",18
"499","14746298","washdems",18
"500","15234546","Terry Moran",18
"501","15300388","Patrick Dollard",18
"502","153218852","Kevin Kalmes",18
"503","157398659","Nathan Hale",18
"504","15742985","Lachlan Markay",18
"505","16002085","igorvolsky",18
"506","16031927","Greta Van Susteren",18
"507","16157855","Ed Henry",18
"508","16950628","Wendell Potter",18
"509","17171286","mm62",18
"510","188055481","Alberto F. Hussein",18
"511","18822612","Amy Kremer",18
"512","193964199","barbara",18
"513","20463418","Campus Progress",18
"514","213795411","Governor Walker",18
"515","21691269","Ziggy_Daddy""",18
"516","22858466","Martha Ramirez",18
"517","235784026","Sue Bradley",18
"518","23978578","Mona",18
"519","24053369","Ken Struck",18
"520","24891210","Denise Ingram",18
"521","27502479","Greg Howard",18
"522","276842152","Sherri Yeatts",18
"523","279758985","Extreme Liberal",18
"524","306872064","Lipstick Liberal",18
"525","325118816","Four More Years",18
"526","378890337","Flowinslow",18
"527","41272328","Sarah Boxer",18
"528","41410702","RB",18
"529","453319164","EJ Dionne",18
"530","583113311","Liberal Librarian",18
"531","58964788","OBAMA  CARES VERITAS",18
"532","61804416","Precious Liberty",18
"533","65092918","PlanetPOV.com",18
"534","65115448","Robert Sewell, MD",18
"535","65502117","Joe Pounder",18
"536","72798486","Nam Vet""",18
"537","73252274","Liberal News",18
"538","79743108","Alex Burns",18
"539","95493980","Obama for America WI",18
"540","110823581","Macon Phillips (EOP)",17
"541","122425966","LivingLiberally",17
"542","123114667","in the puget sound",17
"543","14513611","Crooks and Liars",17
"544","14753225","Pat120",17
"545","15159600","KnowYourObama",17
"546","156306739","Morgan Fairchild",17
"547","15639786","Lucian Dixon",17
"548","176909116","SmallgGay",17
"549","19847765","Sahil Kapur",17
"550","21044127","Howard Notelling",17
"551","21111896","Norah O'Donnell",17
"552","225313528","Dems for Progress",17
"553","23209989","Elizabeth Emken",17
"554","245136682","Evelio Perez",17
"555","25508307"," UltraVerified",17
"556","256295544","backdoordraft",17
"557","28885875","CO2HOG""",17
"558","326892463","ABWisdom",17
"559","38605446","Curtis",17
"560","41207820","RC deWinter",17
