"","id","name","weight"
"263","169629177","Tim Adams",53
"264","18822612","Amy Kremer",52
"265","251644808","Cherylyn HarleyLeBon",52
"266","27744185","Charles Krauthammer",52
"267","277501298","ÑÕâÖÙÖ",52
"268","347057474","I Resist - Evrything",52
"269","49224286","Teodora Stanev",52
"270","54281064","Stacy Hyatt",52
"271","77368894","Docs 4 Patient Care",52
"272","24645354","Gary",51
"273","26900055","Dr. Marty Fox",51
"274","27689907","John McCormack",51
"275","56202097","Red",51
"276","94197072","60 Plus Association",51
"277","17387589","Vann Schaffner",50
"278","18371238","scarlett_0hara",50
"279","20635633","Citizens United",50
"280","21888595","Razor",50
"281","23209989","Elizabeth Emken",50
"282","254777469","DefeatObama",50
"283","393645945","Michael J. Fell",50
"284","110863694","f396",49
"285","133327869","Chico Delainky",49
"286","18172905","Rick Klein",49
"287","214783897","J. R.",49
"288","22026825","Seth",49
"289","25579796","Matthew Burke",49
"290","34434801","Lou ",49
"291","74841347","In God I Trust",49
"292","16557667","MBKing",48
"293","18646108","Bret Baier",48
"294","19408986","TheFoundersKeeper",48
"295","271091161","GBTV",48
"296","27897429","[ Rollins Wallace [",48
"297","32288130","KQK2",48
"298","38122727","ROCKWITHBECK",48
"299","418867782","kerry m epperson",48
"300","6782762","Ali A. Akbar",48
"301","89297892","Larry O'Connor ",48
"302","13524182","daveweigel",47
"303","16931849","Phineas Fahrquar",47
"304","17171111","American Progress",47
"305","18906561","Rick Perry",47
"306","19615940","Earl Crosby",47
"307","27754737","Top Conservative Cat",47
"308","33180256","Susan Petrey",47
"309","52629202","$uzi Q",47
"310","61015562","Scott Barbour",47
"311","72579376","John Hayward",47
"312","100270267","Incognito",46
"313","15207668","GOP Conference",46
"314","15972765","gailtalk",46
"315","19980678","CWforA",46
"316","219003149","SeniorInfo4U",46
"317","2467791","The Washington Post",46
"318","276718178","Liberty Warrior",46
"319","40844862","...",46
"320","20243128","Brent Bozell",45
"321","209792690","Cantor Press",45
"322","27503607","Ed ",45
"323","288283415","Daxton Brown",45
"324","37764422","Fox Nation",45
"325","41758974","Thomas  E",45
"326","4214321","Mattison",45
"327","14282169","Billy Hallowell",44
"328","18916432","Paul Ryan",44
"329","20439040","clarissa jones",44
"330","23157055","Savannah",44
"331","24516301","Pat",44
"332","262401415","Jayne Hults",44
"333","314243234","sharon",44
"334","41363507","Dean Heller",44
"335","497005469","IP4PI",44
"336","64088396","Ben Howe",44
