"","text","created","id","screenName"
"57","Inside opponent 40 yard line this year, #Badgers' Joel Stave is 19-27 for 227 yds, 6 TDs (214.3 efficiency rating) http://t.co/mxqYsWAmbs",2015-09-20 19:00:36,"645673934260711424","BadgerFootball"
"58","Three 20+ yard rushes today. #BadgersInTheNFL https://t.co/lt53C4TLdW",2015-09-20 18:46:51,"645670473909596162","BadgerFootball"
"59","#Badgers climbing in the A.P poll as well. Up to No. 22 this week: http://t.co/J7S6SmgtPi http://t.co/LSukf5buNs",2015-09-20 18:09:37,"645661103796690945","BadgerFootball"
"60","Joel Stave's pass efficiency of 195.7 yesterday was the 2nd-best of his career (198.1 last year vs. Minn). #Badgers http://t.co/cSCZzwuNFa",2015-09-20 17:52:30,"645656795722174465","BadgerFootball"
"61","#Badgers jump 2 more spots. Up to No. 21 in @USATODAYsports Amway Coaches Poll: http://t.co/3zTAobTUSt http://t.co/7Wk4hiT4T0",2015-09-20 16:47:07,"645640340343427077","BadgerFootball"
"62","VIDEO: You'll want to watch this ... probably a couple times. It's that good. #Badgers http://t.co/nuxteRrr88",2015-09-20 16:16:07,"645632541257506816","BadgerFootball"
"63","Badger Rewind from @LucasAtLarge tackles Chris Orr's tackles and #Badgers' running game: http://t.co/06o9GJISro http://t.co/40bLOVxGdR",2015-09-20 15:04:16,"645614457247395840","BadgerFootball"
"64","VIDEO: Highlights and insight from @JoeTheShow58 on #Badgers' 28-7 win http://t.co/NmLHF12AMl",2015-09-20 01:19:58,"645407017268563968","BadgerFootball"
"65","Some good numbers here for the #Badgers http://t.co/kqbmSmKSJB",2015-09-20 01:10:07,"645404539177189376","BadgerFootball"
"66","VIDEO: BTN highlights from #Badgers' win http://t.co/yB2yDv1QPB",2015-09-20 00:48:57,"645399211232632832","BadgerFootball"
"67","Coach Chryst talks #Badgers win over Troy: http://t.co/zewJcsHlUU",2015-09-20 00:23:29,"645392803376332800","BadgerFootball"
"68","Today was fun, #Badgers fans. http://t.co/QkuxnewBSA",2015-09-20 00:18:35,"645391568900354048","BadgerFootball"
"69","Yea, we were pretty fired up about that performance too... What a day for Chris Orr: 14tkl (11 solo), 1 TFL, 1 PBU. http://t.co/7kkErNJ7rG",2015-09-19 23:33:25,"645380201984196608","BadgerFootball"
"70","2-0 at home. #OnWisconsin http://t.co/bmRRCtU7mh",2015-09-19 22:49:52,"645369241848442880","BadgerFootball"
"71","We're now live for the @badgerband 5th Quarter. Tune in: https://t.co/7Gd5kv1DjR",2015-09-19 22:49:19,"645369104145195008","BadgerFootball"
"72","FINAL: #Badgers 28, Troy 3.",2015-09-19 22:46:17,"645368342862266368","BadgerFootball"
"73","Nice hands, Austin. http://t.co/L1DiFZIMMY",2015-09-19 22:36:33,"645365890360414208","BadgerFootball"
"74","Touchdown, Wisconsin! Joel Stave 1-yard TD pass to Austin Traylor -- #Badgers 28, Troy 3 -- 5:07 4th Qtr",2015-09-19 22:35:18,"645365576886525952","BadgerFootball"
"75","#Badgers ILB Chris Orr has 11 tackles (8 solo). Career high was 4 (vs. Alabama)",2015-09-19 22:07:27,"645358568011657216","BadgerFootball"
"76","Get off your feet, y'all #JumpAround",2015-09-19 22:04:47,"645357896637763585","BadgerFootball"
